[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\051.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\051.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\052.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\052.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\053.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\053.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\054.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\054.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\055.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\055.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\056.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\056.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\057.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\057.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\058.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\058.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\059.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\059.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\060.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\060.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\061.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\061.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\062.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\062.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\063.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\063.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\064.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\064.jpg
[2025-09-19 06:51:18] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\065.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\065.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\066.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\066.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\067.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\067.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\068.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\068.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\069.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\069.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\070.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\070.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\071.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\071.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\072.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\072.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\073.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\073.jpg
[2025-09-19 06:51:19] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\074.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\074.jpg
